EntropyAverage,EntropyStd,EntropyMedian,EntropyMin,EntropyMax,VAverage,VStd,VMedian,VMin,VMax,reward,step
0.06058929,0.02692675,0.06058929,0.03366254,0.08751604,95.04451,91.08929,95.04451,3.9552224,186.1338,16.0,546
0.08079527,0.0,0.08079527,0.08079527,0.08079527,90.63007,0.0,90.63007,90.63007,90.63007,10.0,550
0.060568642,0.052416254,0.026913157,0.02019781,0.13459496,209.4529,292.73715,3.3746622,1.5396619,623.4444,25.0,565
0.08300971,0.05504367,0.10769872,0.006731268,0.13459913,319.26218,254.37552,334.81393,0.23243077,622.7401,35.0,587
0.09088872,0.03703467,0.09088872,0.053854045,0.12792338,281.18124,258.55203,281.18124,22.62922,539.7333,25.0,598
0.063962914,0.016831666,0.063962914,0.047131248,0.08079458,81.05234,67.05211,81.05234,14.000236,148.10445,17.0,609
0.10547882,0.020818237,0.094262406,0.08751285,0.13466123,320.58173,214.5107,186.45898,151.99385,623.29236,45.0,626
0.074064225,0.033664364,0.074064225,0.040399857,0.107728586,127.26371,105.169395,127.26371,22.094318,232.4331,20.0,637
0.06058753,0.052432884,0.026933279,0.020192679,0.13463663,210.6239,292.2672,7.427177,0.51165,623.93286,25.0,654
0.100931816,0.0,0.100931816,0.100931816,0.100931816,188.40991,0.0,188.40991,188.40991,188.40991,13.0,658
0.07405283,0.060587708,0.07405283,0.013465125,0.13464054,234.7421,233.50543,234.7421,1.2366683,468.24753,20.0,667
0.11218786,0.031747375,0.13460846,0.06729031,0.13466483,430.18384,269.24185,617.65485,49.433117,623.4635,48.0,695
0.090856336,0.023605615,0.090856336,0.06725072,0.11446195,185.76694,95.878914,185.76694,89.888016,281.64584,25.0,706
0.05380043,0.03361,0.05380043,0.02019043,0.08741043,61.057606,57.67077,61.057606,3.386839,118.72837,14.0,719
0.030257776,0.016855778,0.030257776,0.013401998,0.047113553,16.509897,16.296713,16.509897,0.2131852,32.80661,7.0,730
0.07391695,0.0,0.07391695,0.07391695,0.07391695,67.65621,0.0,67.65621,67.65621,67.65621,9.0,732
0.076270826,0.041258585,0.047132798,0.047060426,0.13461927,224.83887,285.13824,33.164833,13.427535,627.9242,32.0,750
0.067305796,0.0,0.067305796,0.067305796,0.067305796,48.658688,0.0,48.658688,48.658688,48.658688,8.0,758
0.046983138,0.026798481,0.046983138,0.020184655,0.07378162,36.076218,32.69822,36.076218,3.3780005,68.77444,12.0,768
0.050478145,0.010085776,0.050478145,0.04039237,0.060563922,37.047684,29.498003,37.047684,7.5496793,66.545685,13.0,782
0.07404776,0.02018806,0.07404776,0.053859696,0.094235815,125.27612,102.73715,125.27612,22.538979,228.01328,20.0,790
